	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
125	1259	-0.225	0.014	2.615	0.719	0.012
126	1269	-0.226	0.014	2.616	0.71	0.012
127	1279	-0.226	0.014	2.615	0.701	0.013
128	1289	-0.226	0.014	2.616	0.693	0.012
129	1299	-0.226	0.014	2.615	0.688	0.013
130	1309	-0.227	0.014	2.617	0.675	0.012
131	1319	-0.227	0.014	2.615	0.668	0.013
132	1329	-0.227	0.014	2.615	0.661	0.013
133	1339	-0.227	0.014	2.614	0.651	0.013
134	1349	-0.228	0.014	2.615	0.641	0.013
135	1359	-0.228	0.014	2.614	0.634	0.013
136	1369	-0.228	0.014	2.615	0.624	0.013
137	1379	-0.228	0.014	2.614	0.618	0.013
138	1389	-0.229	0.014	2.613	0.609	0.013
139	1399	-0.229	0.014	2.613	0.599	0.013
140	1409	-0.229	0.014	2.613	0.587	0.014
141	1419	-0.229	0.014	2.613	0.583	0.013
142	1429	-0.23	0.014	2.614	0.573	0.013
143	1439	-0.23	0.014	2.614	0.561	0.013
144	1449	-0.23	0.014	2.613	0.554	0.014
145	1459	-0.23	0.014	2.614	0.548	0.014
146	1469	-0.231	0.014	2.613	0.539	0.014
147	1479	-0.231	0.014	2.613	0.53	0.014
148	1489	-0.231	0.014	2.613	0.523	0.014
149	1499	-0.231	0.014	2.613	0.515	0.015
150	1509	-0.232	0.014	2.614	0.506	0.014
151	1519	-0.232	0.014	2.614	0.497	0.015
152	1529	-0.232	0.014	2.613	0.488	0.016
153	1539	-0.232	0.014	2.612	0.48	0.015
154	1549	-0.233	0.014	2.613	0.473	0.016
155	1559	-0.233	0.014	2.612	0.468	0.016
156	1569	-0.233	0.014	2.613	0.459	0.016
157	1579	-0.234	0.014	2.613	0.45	0.015
158	1589	-0.234	0.014	2.613	0.445	0.016
159	1599	-0.234	0.014	2.613	0.441	0.017
160	1609	-0.234	0.014	2.613	0.43	0.016
161	1619	-0.234	0.014	2.611	0.425	0.016
162	1629	-0.234	0.014	2.611	0.419	0.017
163	1639	-0.234	0.014	2.611	0.413	0.017
164	1649	-0.234	0.014	2.611	0.412	0.017
165	1659	-0.235	0.014	2.612	0.401	0.017
166	1669	-0.235	0.014	2.612	0.396	0.017
167	1679	-0.235	0.014	2.611	0.388	0.017
168	1689	-0.235	0.014	2.61	0.385	0.017
169	1699	-0.236	0.014	2.611	0.378	0.017
170	1709	-0.236	0.014	2.612	0.378	0.018
171	1719	-0.236	0.014	2.61	0.373	0.018
172	1729	-0.236	0.014	2.613	0.363	0.017
173	1739	-0.236	0.014	2.61	0.362	0.018
174	1749	-0.236	0.014	2.611	0.354	0.018
175	1759	-0.236	0.014	2.61	0.35	0.018
176	1769	-0.236	0.014	2.611	0.348	0.019
177	1779	-0.237	0.014	2.611	0.345	0.018
178	1789	-0.237	0.014	2.609	0.338	0.018
179	1799	-0.237	0.014	2.611	0.333	0.018
180	1809	-0.237	0.014	2.61	0.33	0.019
181	1819	-0.237	0.014	2.61	0.323	0.018
182	1829	-0.238	0.014	2.612	0.317	0.018
183	1839	-0.237	0.014	2.609	0.314	0.019
184	1849	-0.238	0.013	2.611	0.31	0.018
185	1859	-0.238	0.013	2.61	0.307	0.018
186	1869	-0.237	0.014	2.608	0.306	0.02
187	1879	-0.238	0.013	2.611	0.297	0.019
188	1889	-0.238	0.013	2.611	0.299	0.02
189	1899	-0.238	0.014	2.609	0.292	0.018
190	1909	-0.238	0.013	2.611	0.288	0.019
191	1919	-0.239	0.013	2.611	0.282	0.019
192	1929	-0.238	0.013	2.608	0.284	0.019
193	1939	-0.238	0.013	2.608	0.28	0.019
194	1949	-0.239	0.013	2.61	0.276	0.019
195	1959	-0.239	0.013	2.609	0.273	0.019
196	1969	-0.239	0.013	2.609	0.273	0.02
197	1979	-0.239	0.013	2.608	0.268	0.019
198	1989	-0.239	0.013	2.609	0.266	0.02
199	1999	-0.239	0.013	2.608	0.265	0.021
200	2009	-0.239	0.013	2.609	0.259	0.019
201	2019	-0.239	0.013	2.608	0.256	0.021
202	2029	-0.239	0.013	2.608	0.254	0.021
203	2039	-0.24	0.013	2.609	0.25	0.019
204	2049	-0.239	0.013	2.609	0.252	0.02
205	2059	-0.24	0.013	2.608	0.245	0.02
206	2069	-0.239	0.013	2.608	0.245	0.02
207	2079	-0.24	0.013	2.61	0.245	0.02
208	2089	-0.24	0.013	2.609	0.239	0.02
209	2099	-0.24	0.013	2.609	0.238	0.02
210	2109	-0.24	0.013	2.609	0.236	0.021
211	2119	-0.24	0.013	2.607	0.235	0.02
212	2129	-0.24	0.013	2.609	0.234	0.021
213	2139	-0.24	0.013	2.608	0.233	0.021
214	2149	-0.24	0.013	2.607	0.231	0.021
215	2159	-0.24	0.013	2.608	0.228	0.021
216	2169	-0.24	0.013	2.606	0.228	0.022
217	2179	-0.24	0.013	2.607	0.222	0.021
218	2189	-0.24	0.013	2.609	0.224	0.021
219	2199	-0.24	0.013	2.609	0.222	0.021
220	2209	-0.24	0.013	2.608	0.218	0.021
221	2219	-0.24	0.013	2.608	0.217	0.021
222	2229	-0.24	0.013	2.608	0.216	0.021
223	2239	-0.241	0.013	2.609	0.217	0.022
224	2249	-0.24	0.013	2.606	0.213	0.021
225	2259	-0.241	0.013	2.61	0.209	0.022
226	2269	-0.241	0.013	2.608	0.21	0.021
227	2279	-0.241	0.013	2.608	0.211	0.022
228	2289	-0.241	0.013	2.608	0.209	0.022
229	2299	-0.241	0.013	2.606	0.204	0.021
230	2309	-0.241	0.013	2.608	0.205	0.022
231	2319	-0.241	0.013	2.609	0.203	0.022
232	2329	-0.241	0.013	2.608	0.2	0.021
233	2339	-0.241	0.013	2.608	0.204	0.022
234	2349	-0.241	0.013	2.607	0.202	0.021
235	2359	-0.241	0.013	2.606	0.2	0.022
236	2369	-0.241	0.013	2.608	0.197	0.021
237	2379	-0.241	0.013	2.607	0.197	0.023
238	2389	-0.241	0.013	2.608	0.194	0.022
239	2399	-0.241	0.013	2.608	0.194	0.021
240	2409	-0.241	0.013	2.607	0.191	0.022
241	2419	-0.241	0.013	2.607	0.191	0.022
242	2429	-0.241	0.013	2.607	0.189	0.021
243	2439	-0.242	0.013	2.609	0.188	0.022
244	2449	-0.242	0.013	2.608	0.188	0.022
245	2459	-0.241	0.013	2.608	0.188	0.023
246	2469	-0.242	0.013	2.607	0.184	0.022
247	2479	-0.242	0.013	2.609	0.185	0.022
248	2489	-0.242	0.013	2.608	0.185	0.022
249	2499	-0.242	0.013	2.608	0.185	0.023
250	2509	-0.242	0.013	2.606	0.181	0.023
251	2519	-0.242	0.013	2.607	0.179	0.022
252	2529	-0.242	0.013	2.608	0.18	0.023
253	2539	-0.242	0.013	2.607	0.177	0.022
254	2549	-0.242	0.013	2.607	0.176	0.021
255	2559	-0.242	0.013	2.606	0.176	0.023
256	2569	-0.242	0.013	2.605	0.179	0.024
257	2579	-0.242	0.013	2.605	0.178	0.023
258	2589	-0.242	0.013	2.608	0.176	0.023
